Tackles,,,,,Challenges,,,,Blocks,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
145,Lewis Dobbin,eng ENG,MF,Everton,21-105,2003,2.3,7,6,3,3,1,5,9,55.6,4,4,1,3,1,8,0,0,Matches
146,Matt Doherty,ie IRL,"DF,MF",Wolves,32-092,1992,9.3,22,11,13,6,3,9,16,56.3,7,10,3,7,5,27,37,0,Matches
147,Jeremy Doku,be BEL,"FW,MF",Manchester City,21-326,2002,15.5,31,20,11,11,9,9,18,50,9,11,0,11,8,39,4,0,Matches
148,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,25-294,1998,15.7,62,33,34,27,1,23,48,47.9,25,29,5,24,15,77,23,0,Matches
149,Jamie Donley,eng ENG,FW,Tottenham,19-105,2005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
150,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,31-107,1993,23.9,40,24,18,14,8,16,38,42.1,22,21,2,19,14,54,13,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Cheick Doucouré,ml MLI,MF,Crystal Palace,24-100,2000,10.2,34,17,15,13,6,18,30,60,12,13,2,11,20,54,12,0,Matches
152,Alfie Doughty,eng ENG,DF,Luton Town,24-118,1999,27.6,51,33,25,15,11,29,70,41.4,41,42,7,35,27,78,35,3,Matches
153,Tommy Doyle,eng ENG,MF,Wolves,22-183,2001,11.8,23,11,9,9,5,14,22,63.6,8,21,8,13,12,35,16,0,Matches
154,Radu Drăgușin,ro ROU,DF,Tottenham,22-074,2002,2.6,1,1,1,0,0,1,1,100,0,4,4,0,5,6,14,0,Matches
155,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35-093,1989,17.1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,1,Matches
156,Paul Dummett,wls WAL,DF,Newcastle Utd,32-204,1991,0.2,1,0,1,0,0,1,1,100,0,0,0,0,0,1,1,0,Matches
157,Lewis Dunk,eng ENG,DF,Brighton,32-148,1991,27.4,23,11,13,9,1,10,31,32.3,21,42,32,10,27,50,68,1,Matches
158,Jhon Durán,co COL,"FW,MF",Aston Villa,20-126,2003,3.8,5,4,2,1,2,1,4,25,3,6,0,6,1,6,7,0,Matches
159,George Earthy,eng ENG,FW,West Ham,19-225,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
160,Ederson,br BRA,GK,Manchester City,30-244,1993,26.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,Matches
161,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,26-092,1998,16.1,21,10,8,6,7,3,17,17.6,14,15,1,14,5,26,19,0,Matches
162,John Egan,ie IRL,DF,Sheffield Utd,31-180,1992,5.4,6,4,4,2,0,4,11,36.4,7,10,4,6,13,19,39,1,Matches
163,Hjalmar Ekdal,se SWE,DF,Burnley,25-179,1998,4.3,4,2,2,2,0,2,4,50,2,10,5,5,6,10,18,0,Matches
164,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21-356,2002,23.9,32,18,19,6,7,16,33,48.5,17,22,2,20,7,39,18,1,Matches
165,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-013,2003,10.1,18,13,3,12,3,7,22,31.8,15,18,0,18,5,23,6,0,Matches
